english level (4),exclamation (exclam.) (20),preposition (prep.) (59),indefinite article (2),definite article (1),determiner (det.) (42),adjectives (adj.) (650),noun (n.) (1798),pronoun (pron.) (76),adverbs (adv.) (263),infinitive marker (1),verb (v.) (814),modal verb(v.) (14),auxiliary verb(v.) (3),conjunction (conj.) (30),number (37)
A1 (901)
,bye,about,a,the,all,afraid,action,all,about,to,add,can,be,and,eight
,goodbye,above,an,,another,amazing,activity,another,above,,agree,cannot,do,because,eighteen
,hello,across,,,any,angry,actor,any,across,,answer,could,,but,eighty
,hey,after,,,both,bad,actress,anyone,again,,arrive,have to,,if,eleven
,hi,around,,,each,beautiful,address,anything,ago,,ask,must,,or,fifteen
,no,as,,,enough,best,adult,both,also,,be,should,,so,fifth
,oh,at,,,every,better,advice,each,always,,become,will,,than,fifty
,OK,before,,,few,big,afternoon,enough,around,,begin,would,,that,first
,please,behind,,,first,black,age,everybody,away,,believe,,,until,five
,sorry,below,,,half,blonde,air,everyone,back,,born,,,when,forty
,thanks,between,,,her,blue,airport,everything,behind,,break,,,where,four
,welcome,by,,,his,bored,animal,few,below,,bring,,,,fourteen
,well,down,,,its,boring,answer,half,down,,build,,,,fourth
,yeah,during,,,last,brown,apartment,he,downstairs,,buy,,,,hundred
,yes,for,,,little,busy,apple,her,each,,call,,,,million
,,from,,,lot,capital,April,him,early,,carry,,,,nine
,,in,,,many,cheap,area,I,east,,change,,,,nineteen
,,into,,,more,clean,arm,it,else,,check,,,,ninety
,,like,,,most,cold,art,little,enough,,choose,,,,one
,,near,,,much,common,article,lot,even,,clean,,,,second
,,next to,,,my,complete,artist,many,ever,,climb,,,,seven
,,of,,,no,cool,August,me,far,,close,,,,seventeen
,,off,,,one,correct,aunt,more,fast,,come,,,,seventy
,,on,,,our,dangerous,autumn,most,first,,compare,,,,six
,,opposite,,,second,dark,baby,much,hard,,complete,,,,sixteen
,,out,,,some,dear,back,no one,here,,cook,,,,sixty
,,over,,,that,delicious,bag,nobody,home,,correct,,,,ten
,,past,,,their,different,ball,nothing,how,,cost,,,,third
,,through,,,this,difficult,banana,one,however,,create,,,,thirteen
,,to,,,what,dirty,band,other,in,,cut,,,,thirty
,,under,,,which,early,bank,own,just,,dance,,,,thousand
,,until,,,your,east,bath,same,late,,decide,,,,three
,,up,,,,easy,bathroom,she,later,,describe,,,,twelve
,,with,,,,excited,beach,some,left,,design,,,,twenty
,,without,,,,exciting,bed,somebody,long,,die,,,,two
,,,,,,expensive,bedroom,someone,lot,,discuss,,,,
,,,,,,extra,beer,something,maybe,,do,,,,
,,,,,,false,beginning,that,more,,draw,,,,
,,,,,,family,bicycle,them,most,,dress,,,,
,,,,,,famous,bike,they,much,,drink,,,,
,,,,,,fantastic,bill,this,near,,drive,,,,
,,,,,,fast,bird,us,never,,eat,,,,
,,,,,,fat,birthday,we,next,,email,,,,
,,,,,,favourite,black,what,north,,end,,,,
,,,,,,few,blog,when,not,,enjoy,,,,
,,,,,,final,blue,which,now,,exercise,,,,
,,,,,,fine,boat,who,o’clock,,explain,,,,
,,,,,,free,body,you,off,,fall,,,,
,,,,,,friendly,book,yourself,often,,feel,,,,
,,,,,,front,boot,,OK,,fill,,,,
,,,,,,full,bottle,,on,,find,,,,
,,,,,,funny,box,,once,,finish,,,,
,,,,,,good,boy,,online,,fly,,,,
,,,,,,great,boyfriend,,only,,follow,,,,
,,,,,,green,bread,,opposite,,forget,,,,
,,,,,,grey,break,,out,,form,,,,
,,,,,,happy,breakfast,,outside,,get,,,,
,,,,,,hard,brother,,over,,give,,,,
,,,,,,healthy,brown,,pretty,,go,,,,
,,,,,,high,building,,probably,,grow,,,,
,,,,,,hot,bus,,quickly,,guess,,,,
,,,,,,hungry,business,,quite,,happen,,,,
,,,,,,important,butter,,really,,hate,,,,
,,,,,,interested,cafe,,right,,have,,,,
,,,,,,interesting,cake,,same,,hear,,,,
,,,,,,key,call,,so,,help,,,,
,,,,,,large,camera,,sometimes,,hope,,,,
,,,,,,late,capital,,soon,,imagine,,,,
,,,,,,left,car,,south,,improve,,,,
,,,,,,light,card,,still,,include,,,,
,,,,,,little,career,,then,,interest,,,,
,,,,,,local,carrot,,there,,interview,,,,
,,,,,,long,cat,,through,,introduce,,,,
,,,,,,main,CD,,today,,join,,,,
,,,,,,married,cent,,together,,keep,,,,
,,,,,,modern,centre,,tomorrow,,know,,,,
,,,,,,natural,century,,tonight,,laugh,,,,
,,,,,,near,chair,,too,,learn,,,,
,,,,,,negative,change,,twice,,leave,,,,
,,,,,,new,chart,,under,,let,,,,
,,,,,,next,cheese,,up,,lie,,,,
,,,,,,nice,chicken,,upstairs,,like,,,,
,,,,,,north,child,,usually,,list,,,,
,,,,,,OK,chocolate,,very,,listen,,,,
,,,,,,old,cinema,,well,,live,,,,
,,,,,,online,city,,west,,look,,,,
,,,,,,only,class,,when,,lose,,,,
,,,,,,open,classroom,,where,,love,,,,
,,,,,,opposite,clock,,why,,make,,,,
,,,,,,orange,clothes,,yesterday,,match,,,,
,,,,,,other,club,,,,mean,,,,
,,,,,,own,coat,,,,meet,,,,
,,,,,,past,coffee,,,,miss,,,,
,,,,,,perfect,cold,,,,move,,,,
,,,,,,personal,college,,,,name,,,,
,,,,,,pink,colour,,,,need,,,,
,,,,,,poor,company,,,,open,,,,
,,,,,,popular,computer,,,,order,,,,
,,,,,,positive,concert,,,,paint,,,,
,,,,,,possible,conversation,,,,park,,,,
,,,,,,present,cooking,,,,pay,,,,
